ID,URL,Element,Rarity,Max Evo Level,Name,Type,ATK,HP,Icon,Skills
Abydos,https://gbf.wiki/Abydos,dark,ssr,4,Abydos,dagger,2707,265,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040115500.jpg,"Purgatory's Persistence, Hatred's Progression"
Abyss_Dagger,https://gbf.wiki/Abyss_Dagger,dark,ssr,3,Abyss Dagger,dagger,2460,240,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040101900.jpg,Oblivion's Aegis
Abyss_Gaze,https://gbf.wiki/Abyss_Gaze,dark,ssr,4,Abyss Gaze,gun,2940,190,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040508900.jpg,"Mistfall's Might, Mistfall's Restraint"
Abyss_Spine,https://gbf.wiki/Abyss_Spine,dark,ssr,4,Abyss Spine,staff,2350,310,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040414200.jpg,"Mistfall's Majesty II, Mistfall's Sentence"
Abyss_Striker,https://gbf.wiki/Abyss_Striker,dark,ssr,4,Abyss Striker,axe,2870,200,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040309400.jpg,"Mistfall's Enmity, Mistfall's Heed"
Advocatus,https://gbf.wiki/Advocatus,dark,ssr,3,Advocatus,spear,2114,225,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040213200.jpg,Phantom's Supremacy
Advocatus_Diaboli,https://gbf.wiki/Advocatus_Diaboli,dark,ssr,5,Advocatus Diaboli,spear,2814,303,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040213300.jpg,"True Phantom's Supremacy, Undersky's Whispers"
Advocatus_Diaboli_Militis,https://gbf.wiki/Advocatus_Diaboli_Militis,dark,ssr,3,Advocatus Diaboli Militis,spear,2152,236,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040218000.jpg,"Mistfall's Trituration, Mistfall's Aegis"
Agonize,https://gbf.wiki/Agonize,dark,ssr,4,Agonize,bow,2975,223,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040711100.jpg,"Dark's Might, Purgatory's Spectacle"
Alabaster_Zenith,https://gbf.wiki/Alabaster_Zenith,dark,ssr,4,Alabaster Zenith,katana,3260,220,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040911900.jpg,"Oblivion's Mystery, Graphite Arts, Caliginis Excelsior"
Albacore_Blade,https://gbf.wiki/Albacore_Blade,dark,ssr,3,Albacore Blade,sabre,2045,169,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040002100.jpg,Oblivion's Aegis
Ameno_Habakiri_(Dark),https://gbf.wiki/Ameno_Habakiri_(Dark),dark,ssr,5,Ameno Habakiri,katana,4036,287,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040904900.jpg,"Hatred's Celere, Slaysnake's Myth II, Hatred's Trium"
Ancient_Cortana,https://gbf.wiki/Ancient_Cortana,dark,ssr,4,Ancient Cortana,dagger,2710,260,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040106400.jpg,"Mistfall's Tyranny, Mistfall's Trium III"
Arabesque_Nyx,https://gbf.wiki/Arabesque_Nyx,dark,ssr,4,Arabesque Nyx,dagger,2727,261,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040114100.jpg,"Impavid Impetus, Reverberating Rhythm"
Arachne,https://gbf.wiki/Arachne,dark,ssr,4,Arachne,gun,3200,200,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040509600.jpg,"Oblivion's Might, Femme Fatale"
Architect_Frame,https://gbf.wiki/Architect_Frame,dark,ssr,3,Architect Frame,staff,1760,225,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040413300.jpg,"Architect Battle Arts, Architect ATK Ⅱ"
Aschallon_Nyx,https://gbf.wiki/Aschallon_Nyx,dark,ssr,4,Aschallon Nyx,sabre,2830,240,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040006900.jpg,"Blade of Conquest, Crimsonic Liege"
Atma_Axe_(Dark),https://gbf.wiki/Atma_Axe_(Dark),dark,ssr,3,Atma Axe,axe,2844,165,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040307700.jpg,Labrys Rubell
Atma_Blade_(Dark),https://gbf.wiki/Atma_Blade_(Dark),dark,ssr,3,Atma Blade,katana,2856,163,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040907400.jpg,Makhaira Rubell
Atma_Bow_(Dark),https://gbf.wiki/Atma_Bow_(Dark),dark,ssr,3,Atma Bow,bow,2608,206,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040706800.jpg,Arcus Rubell
Atma_Dagger_(Dark),https://gbf.wiki/Atma_Dagger_(Dark),dark,ssr,3,Atma Dagger,dagger,2402,224,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040109600.jpg,Sica Rubell
Atma_Fist_(Dark),https://gbf.wiki/Atma_Fist_(Dark),dark,ssr,3,Atma Fist,melee,2328,237,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040608000.jpg,Luctor Rubell
Atma_Gun_(Dark),https://gbf.wiki/Atma_Gun_(Dark),dark,ssr,3,Atma Gun,gun,2857,157,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040507300.jpg,Arma Rubell
Atma_Harp_(Dark),https://gbf.wiki/Atma_Harp_(Dark),dark,ssr,3,Atma Harp,harp,2245,224,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040806900.jpg,Musica Rubell
Atma_Spear_(Dark),https://gbf.wiki/Atma_Spear_(Dark),dark,ssr,3,Atma Spear,spear,2350,238,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040208700.jpg,Lancea Rubell
Atma_Staff_(Dark),https://gbf.wiki/Atma_Staff_(Dark),dark,ssr,3,Atma Staff,staff,2162,270,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040410700.jpg,Baculum Rubell
Atma_Sword_(Dark),https://gbf.wiki/Atma_Sword_(Dark),dark,ssr,3,Atma Sword,sabre,2594,195,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040011800.jpg,Gladius Rubell
Autumn%27s_Decline,https://gbf.wiki/Autumn%27s_Decline,dark,ssr,3,Autumn's Decline,katana,2207,138,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040914200.jpg,"Armed Shadow, Covert Artistry"
Avenger_Nyx,https://gbf.wiki/Avenger_Nyx,dark,ssr,4,Avenger Nyx,axe,2960,213,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040304100.jpg,"Swordmaster's Soul, Supreme Trepidation"
Axe_of_Bahamut_Coda,https://gbf.wiki/Axe_of_Bahamut_Coda,dark,ssr,5,Axe of Bahamut Coda,axe,3445,245,./Weapon Lists_Dark - Granblue Fantasy Wiki_files/100px-Weapon_m_1040304300.jpg,"Concrio Terra, Incursio Terra"
