ID,URL,Element,Rarity,Max Evo Level,Name,Type,ATK,HP,Icon,Skills
Aetherial_Marine,https://gbf.wiki/Aetherial_Marine,earth,ssr,3,Aetherial Marine,bow,2390,250,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040711200.jpg,"Mountain's Stamina, Earth's Sentence"
AK-4A,https://gbf.wiki/AK-4A,earth,ssr,4,AK-4A,gun,3580,240,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040504300.jpg,"Terra's Might III, Earth's Fandango"
All-Might_Battle-Axe,https://gbf.wiki/All-Might_Battle-Axe,earth,ssr,4,All-Might Battle-Axe,axe,2950,220,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040311100.jpg,"Amber Arts, Heroic Tale"
All-Might_Spear,https://gbf.wiki/All-Might_Spear,earth,ssr,4,All-Might Spear,spear,2690,270,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040208100.jpg,"Terra's Might II, Terrae Excelsior"
Ameno_Habakiri_(Earth),https://gbf.wiki/Ameno_Habakiri_(Earth),earth,ssr,5,Ameno Habakiri,katana,4036,287,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040904600.jpg,"Mountain's Celere, Slaysnake's Myth II, Mountain's Trium"
Ancient_Bandages,https://gbf.wiki/Ancient_Bandages,earth,ssr,4,Ancient Bandages,melee,2840,300,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040605700.jpg,"Terra's Enmity, Earth's Dual-Edge, Mountain's Garrison"
Ancient_Perseus,https://gbf.wiki/Ancient_Perseus,earth,ssr,4,Ancient Perseus,harp,2470,270,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040803500.jpg,"Lifetree's Majesty, Lifetree's Haunt"
Andromeda,https://gbf.wiki/Andromeda,earth,ssr,4,Andromeda,harp,3009,375,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040814400.jpg,"Cepheid Variable, Galactic Bulge, Terra's Glory"
Arabesque_Terra,https://gbf.wiki/Arabesque_Terra,earth,ssr,4,Arabesque Terra,dagger,2727,261,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040113800.jpg,"Impavid Impetus, Reverberating Rhythm"
Arijwani,https://gbf.wiki/Arijwani,earth,ssr,3,Arijwani,dagger,2540,210,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040116100.jpg,"Terra's Mystery, Preemptive Terra Blade"
Arsene,https://gbf.wiki/Arsene,earth,ssr,4,Arsene,dagger,2830,290,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040106300.jpg,"Terra's Might, Mountain's Verity"
Ascalon,https://gbf.wiki/Ascalon,earth,ssr,4,Ascalon,sabre,2940,250,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040000300.jpg,"Terra's Might, Hoarfrost's Might, Sting of the Dragon Fang"
Aschallon_Terra,https://gbf.wiki/Aschallon_Terra,earth,ssr,4,Aschallon Terra,sabre,2830,240,./Weapon Lists_Earth - Granblue Fantasy Wiki_files/100px-Weapon_m_1040006600.jpg,"Blade of Conquest, Crimsonic Liege"
