ID,URL,Element,Rarity,Max Evo Level,Name,Type,ATK,HP,Icon,Skills
Al-Abad,https://gbf.wiki/Al-Abad,fire,ssr,4,Al-Abad,staff,2302,345,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040420400.jpg,"Blaze's Crux, Arsus Excelsior"
Ameno_Habakiri_(Fire),https://gbf.wiki/Ameno_Habakiri_(Fire),fire,ssr,5,Ameno Habakiri,katana,4036,287,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040904300.jpg,"Hellfire's Celere, Slaysnake's Myth II, Hellfire's Trium"
Ancient_Ecke_Sachs,https://gbf.wiki/Ancient_Ecke_Sachs,fire,ssr,4,Ancient Ecke Sachs,sabre,2030,800,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040007000.jpg,"Ironflame's Celere II, Ironflame's Enmity"
Antwerp,https://gbf.wiki/Antwerp,fire,ssr,3,Antwerp,sabre,2535,210,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040009000.jpg,"Inferno's Might, Preemptive Fire Blade"
Arabesque_Incendo,https://gbf.wiki/Arabesque_Incendo,fire,ssr,4,Arabesque Incendo,dagger,2727,261,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040113600.jpg,"Impavid Impetus, Reverberating Rhythm"
Arcane_Rouge,https://gbf.wiki/Arcane_Rouge,fire,ssr,4,Arcane Rouge,sabre,3070,250,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040022800.jpg,"Inferno's Might, Fire's Mystery, Arsus Excelsior"
Arjunan_Bow,https://gbf.wiki/Arjunan_Bow,fire,ssr,3,Arjunan Bow,bow,2505,230,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040708600.jpg,"Hellfire's Restraint, Fire's Mystery"
Arson_Blaze,https://gbf.wiki/Arson_Blaze,fire,ssr,3,Arson Blaze,staff,2648,339,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040419100.jpg,"Inferno's Might, Hellfire's Verity, Scarlet Craft"
Arvess_Replica,https://gbf.wiki/Arvess_Replica,fire,ssr,3,Arvess Replica,spear,2411,235,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040211000.jpg,"Inferno's Might, Fire's Aegis"
Aschallon,https://gbf.wiki/Aschallon,fire,ssr,3,Aschallon,sabre,2405,203,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040006200.jpg,"Blade of Conquest, Crimsonic Liege"
Aschallon_Incendo,https://gbf.wiki/Aschallon_Incendo,fire,ssr,4,Aschallon Incendo,sabre,2830,240,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040006400.jpg,"Blade of Conquest, Crimsonic Liege"
Aschallon_Rebirth,https://gbf.wiki/Aschallon_Rebirth,fire,ssr,3,Aschallon Rebirth,sabre,2425,205,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Aschallon_Rebirth_icon.jpg,"Blade of Conquest, Crimsonic Liege"
Astro_Modele,https://gbf.wiki/Astro_Modele,fire,ssr,3,Astro Modele,gun,2300,120,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040514900.jpg,"Armed Blaze, Synchronized Artistry"
Asura,https://gbf.wiki/Asura,fire,ssr,4,Asura,katana,3230,225,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040900000.jpg,"Inferno's Might II, Hoarfrost's Might"
Atma_Axe_(Fire),https://gbf.wiki/Atma_Axe_(Fire),fire,ssr,3,Atma Axe,axe,2844,165,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040307200.jpg,Labrys Rubell
Atma_Blade_(Fire),https://gbf.wiki/Atma_Blade_(Fire),fire,ssr,3,Atma Blade,katana,2856,163,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040906900.jpg,Makhaira Rubell
Atma_Bow_(Fire),https://gbf.wiki/Atma_Bow_(Fire),fire,ssr,3,Atma Bow,bow,2608,206,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040706300.jpg,Arcus Rubell
Atma_Dagger_(Fire),https://gbf.wiki/Atma_Dagger_(Fire),fire,ssr,3,Atma Dagger,dagger,2402,224,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040109100.jpg,Sica Rubell
Atma_Fist_(Fire),https://gbf.wiki/Atma_Fist_(Fire),fire,ssr,3,Atma Fist,melee,2328,237,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040607500.jpg,Luctor Rubell
Atma_Gun_(Fire),https://gbf.wiki/Atma_Gun_(Fire),fire,ssr,3,Atma Gun,gun,2857,157,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040506800.jpg,Arma Rubell
Atma_Harp_(Fire),https://gbf.wiki/Atma_Harp_(Fire),fire,ssr,3,Atma Harp,harp,2245,224,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040806400.jpg,Musica Rubell
Atma_Spear_(Fire),https://gbf.wiki/Atma_Spear_(Fire),fire,ssr,3,Atma Spear,spear,2350,238,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040208200.jpg,Lancea Rubell
Atma_Staff_(Fire),https://gbf.wiki/Atma_Staff_(Fire),fire,ssr,3,Atma Staff,staff,2162,270,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040410200.jpg,Baculum Rubell
Atma_Sword_(Fire),https://gbf.wiki/Atma_Sword_(Fire),fire,ssr,3,Atma Sword,sabre,2594,195,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040011300.jpg,Gladius Rubell
Auriculata_Bow,https://gbf.wiki/Auriculata_Bow,fire,ssr,3,Auriculata Bow,melee,2454,227,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040615100.jpg,"Inferno's Verity, Scarlet Craft"
Avenger,https://gbf.wiki/Avenger,fire,ssr,3,Avenger,axe,2519,180,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040302300.jpg,"Swordmaster's Soul, Supreme Trepidation"
Avenger_Incendo,https://gbf.wiki/Avenger_Incendo,fire,ssr,4,Avenger Incendo,axe,2960,213,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040303600.jpg,"Swordmaster's Soul, Supreme Trepidation"
Avenger_Rebirth,https://gbf.wiki/Avenger_Rebirth,fire,ssr,3,Avenger Rebirth,axe,2540,182,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Avenger_Rebirth_icon.jpg,"Swordmaster's Soul, Supreme Trepidation"
Balanced_Blade,https://gbf.wiki/Balanced_Blade,fire,ssr,3,Balanced Blade,sabre,2015,173,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040004500.jpg,Strength
Balmung,https://gbf.wiki/Balmung,fire,ssr,4,Balmung,sabre,2380,200,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040002300.jpg,"Inferno's Aegis, Fire's Enmity"
Belfast,https://gbf.wiki/Belfast,fire,ssr,4,Belfast,spear,2980,270,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040216400.jpg,"Inferno's Enmity, Inferno's Garrison"
Benbenet,https://gbf.wiki/Benbenet,fire,ssr,4,Benbenet,spear,2776,251,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040217700.jpg,"Blaze's Persistence, Preemptive Fire Blade"
Benedia,https://gbf.wiki/Benedia,fire,ssr,4,Benedia,gun,3600,240,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040502500.jpg,"Inferno's Might III, Hellfire's Restraint"
Berserker%27s_Barrage_(Fire),https://gbf.wiki/Berserker%27s_Barrage_(Fire),fire,ssr,5,Berserker's Barrage,axe,3380,244,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040308400.jpg,"Barbarian's Nature, Barbarian's Essence"
Bewitching_Bouquet,https://gbf.wiki/Bewitching_Bouquet,fire,ssr,3,Bewitching Bouquet,sabre,2020,174,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040008500.jpg,Inferno's Might
Bird_Eye,https://gbf.wiki/Bird_Eye,fire,ssr,4,Bird Eye,gun,3260,218,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040500200.jpg,"Inferno's Might II, Hellfire's Dual-Edge"
Black_Dragon%27s_Maw,https://gbf.wiki/Black_Dragon%27s_Maw,fire,ssr,4,Black Dragon's Maw,katana,3270,220,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040911400.jpg,"Inferno's Might, Fire's Mystery, Inferno's Bloodshed"
Blade_of_Loyalty,https://gbf.wiki/Blade_of_Loyalty,fire,ssr,3,Blade of Loyalty,sabre,2497,218,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040023600.jpg,"Fire's Majesty, Fire's Aegis"
Blazing_Mistral,https://gbf.wiki/Blazing_Mistral,fire,ssr,4,Blazing Mistral,spear,3137,350,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040217300.jpg,"Purity of Nature, Fine Wind, Clear Heart, Inferno's Majesty"
Blushing_Blossom_Pin,https://gbf.wiki/Blushing_Blossom_Pin,fire,ssr,3,Blushing Blossom Pin,melee,2325,253,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040606100.jpg,"Inferno's Might, Fire's Dual-Edge"
Bonsai_Blade,https://gbf.wiki/Bonsai_Blade,fire,ssr,4,Bonsai Blade,katana,3236,224,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040912900.jpg,"Inferno's Verity, Fire's Might, Scarlet Arts"
Brahma_Gauntlet,https://gbf.wiki/Brahma_Gauntlet,fire,ssr,4,Brahma Gauntlet,melee,2840,300,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040602900.jpg,"Inferno's Might, Preemptive Fire Blade, Supremacy's Fist"
Brionac,https://gbf.wiki/Brionac,fire,ssr,4,Brionac,spear,2710,298,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040200300.jpg,"Hellfire's Might, Hellfire's Aegis, Piercing Fang"
Caduceus_(Fire),https://gbf.wiki/Caduceus_(Fire),fire,ssr,5,Caduceus,staff,3259,435,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Caduceus_(Fire)_icon.jpg,"Fire's Majesty, Saving Grace II, Hellfire's Garrison"
Chains_of_Caucasus,https://gbf.wiki/Chains_of_Caucasus,fire,ssr,4,Chains of Caucasus,sabre,2830,240,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040018900.jpg,"Hellfire's Enmity, Grand Epic"
Championship_Belt_(Fire),https://gbf.wiki/Championship_Belt_(Fire),fire,ssr,5,Championship Belt,melee,3015,317,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040609100.jpg,"Reigning Champ's Nature, Reigning Champ's Essence"
Chanteuse_Angelique_(Fire),https://gbf.wiki/Chanteuse_Angelique_(Fire),fire,ssr,5,Chanteuse Angelique,harp,2840,299,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040807600.jpg,"Virtuoso's Nature, Virtuoso's Essence"
Charming_Broom,https://gbf.wiki/Charming_Broom,fire,ssr,4,Charming Broom,staff,2450,380,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040418900.jpg,"Inferno's Majesty, Fire's Aegis"
Cloudblazer%27s_Broom,https://gbf.wiki/Cloudblazer%27s_Broom,fire,ssr,4,Cloudblazer's Broom,spear,3079,251,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040217600.jpg,"Preemptive Fire Blade, Scarlet Arts, Hellfire's Majesty"
Clucky_Lantern,https://gbf.wiki/Clucky_Lantern,fire,ssr,3,Clucky Lantern,axe,2130,151,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040315200.jpg,"Armed Blaze, Covert Artistry"
Colossus_Blade_Omega,https://gbf.wiki/Colossus_Blade_Omega,fire,ssr,5,Colossus Blade Omega,katana,3030,210,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040902700.jpg,Ironflame's Enmity III
Colossus_Cane_Omega,https://gbf.wiki/Colossus_Cane_Omega,fire,ssr,5,Colossus Cane Omega,staff,2450,324,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040401500.jpg,Ironflame's Might II
Colossus_Carbine_Omega,https://gbf.wiki/Colossus_Carbine_Omega,fire,ssr,5,Colossus Carbine Omega,gun,3060,201,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040500500.jpg,Ironflame's Aegis II
Colossus_Fist_Omega,https://gbf.wiki/Colossus_Fist_Omega,fire,ssr,5,Colossus Fist Omega,melee,2670,280,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040600700.jpg,Ironflame's Clarity II
Crimson_Finger,https://gbf.wiki/Crimson_Finger,fire,ssr,4,Crimson Finger,melee,2850,300,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040600200.jpg,"Inferno's Might II, Hellfire's Enmity"
Crimson_Scale,https://gbf.wiki/Crimson_Scale,fire,ssr,4,Crimson Scale,axe,3508,253,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040315900.jpg,"Blaze's Pact, Axe Voltage II, Blaze's Quintessence"
Crimson_Stinger,https://gbf.wiki/Crimson_Stinger,fire,ssr,3,Crimson Stinger,spear,2321,253,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040218700.jpg,"Inferno's Mystery, Fire's Enmity"
Czar%27s_Belchzooka,https://gbf.wiki/Czar%27s_Belchzooka,fire,ssr,3,Czar's Belchzooka,gun,2171,142,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040516000.jpg,"Armed Blaze, Covert Artistry"
Dainsleif,https://gbf.wiki/Dainsleif,fire,ssr,4,Dainsleif,sabre,3010,253,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040000000.jpg,"Inferno's Might, Strategist's Temperament"
Damascus_Knife_(Fire),https://gbf.wiki/Damascus_Knife_(Fire),fire,ssr,5,Damascus Knife,dagger,3728,640,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Damascus_Knife_(Fire)_icon.jpg,"Shady Business II, Scarlet Arts, Scarlet Hunt"
Deirdre%27s_Heart,https://gbf.wiki/Deirdre%27s_Heart,fire,ssr,4,Deirdre's Heart,melee,2760,320,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040612400.jpg,"Inferno's Garrison, Fire's Majesty"
Delta_Quartz,https://gbf.wiki/Delta_Quartz,fire,ssr,4,Delta Quartz,dagger,3010,260,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040108300.jpg,"Inferno's Trium, Hellfire's Clarity, Fire's Enmity"
Demonic_Longstaff_(Fire),https://gbf.wiki/Demonic_Longstaff_(Fire),fire,ssr,5,Demonic Longstaff,staff,2940,298,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040412200.jpg,"Arcanist's Nature, Arcanist's Essence"
Devil%27s_Finger_(Fire),https://gbf.wiki/Devil%27s_Finger_(Fire),fire,ssr,5,Devil's Finger,dagger,3075,311,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040111600.jpg,"Executioner's Nature, Executioner's Essence"
Disaster_Claw,https://gbf.wiki/Disaster_Claw,fire,ssr,3,Disaster Claw,melee,1957,185,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040616400.jpg,"Armed Blaze, Synchronized Artistry"
Draco_Claw,https://gbf.wiki/Draco_Claw,fire,ssr,3,Draco Claw,melee,2571,207,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040608900.jpg,"Hellfire's Celere, Fire's Mystery"
Draconic_Harp,https://gbf.wiki/Draconic_Harp,fire,ssr,5,Draconic Harp,harp,3240,399,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040811900.jpg,"Wilnas's Firestorm, Four Orbs' Judgment, Six Dragons' Radiance"
Dragon_Spear,https://gbf.wiki/Dragon_Spear,fire,ssr,3,Dragon Spear,spear,1890,209,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040204100.jpg,"Hellfire's Might, Fire's Aegis"
Dreadful_Flamesword,https://gbf.wiki/Dreadful_Flamesword,fire,ssr,4,Dreadful Flamesword,sabre,2522,213,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040024600.jpg,"Hellfire's Aegis, Fire's Stamina, Hellfire's Fandango"
Ecke_Sachs,https://gbf.wiki/Ecke_Sachs,fire,ssr,4,Ecke Sachs,sabre,2030,800,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Ecke_Sachs_icon.jpg,"Hellfire's Celere, Fire's Enmity"
Eight-Life_Katana_Cardinal,https://gbf.wiki/Eight-Life_Katana_Cardinal,fire,ssr,3,Eight-Life Katana Cardinal,katana,2990,210,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040901400.jpg,Inferno's Might
Eight-Life_Katana_Incendo,https://gbf.wiki/Eight-Life_Katana_Incendo,fire,ssr,3,Eight-Life Katana Incendo,katana,2720,190,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040900700.jpg,Inferno's Might
Emberfire_Longblade,https://gbf.wiki/Emberfire_Longblade,fire,ssr,3,Emberfire Longblade,katana,2420,168,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040910100.jpg,Dreadflame's Supremacy
Embroidered_Handballs,https://gbf.wiki/Embroidered_Handballs,fire,ssr,3,Embroidered Handballs,melee,2340,250,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040617500.jpg,"Inferno's Verity, Hellfire's Dual-Edge"
Erichthonius,https://gbf.wiki/Erichthonius,fire,ssr,4,Erichthonius,spear,2500,278,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040206800.jpg,"Inferno's Tyranny, Inferno's Trium"
Erichthonius_Militis,https://gbf.wiki/Erichthonius_Militis,fire,ssr,3,Erichthonius Militis,spear,1969,218,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040216800.jpg,"Spear Voltage II, Blaze's Initiation"
Escalus_Harp,https://gbf.wiki/Escalus_Harp,fire,ssr,3,Escalus Harp,harp,1790,192,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040802200.jpg,Inferno's Aegis
Eurytos_Bow,https://gbf.wiki/Eurytos_Bow,fire,ssr,4,Eurytos Bow,bow,3040,275,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Weapon_m_1040700000.jpg,"Inferno's Might II, Hellfire's Dual-Edge"
Excalibur_(Fire),https://gbf.wiki/Excalibur_(Fire),fire,ssr,5,Excalibur,sabre,3792,316,./Weapon Lists_Fire - Granblue Fantasy Wiki_files/100px-Excalibur_(Fire)_icon.jpg,"Inferno's Garrison, Rightway Pathfinder II, Hellfire's Stamina"
