ID,URL,Element,Rarity,Max Evo Level,Name,Type,ATK,HP,Icon,Skills
Adamantine_Gauntlet,https://gbf.wiki/Adamantine_Gauntlet,light,ssr,4,Adamantine Gauntlet,melee,2640,280,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040611700.jpg,"Thunder's Verity, Grand Epic"
Ameno_Habakiri_(Light),https://gbf.wiki/Ameno_Habakiri_(Light),light,ssr,5,Ameno Habakiri,katana,4036,287,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040904800.jpg,"Thunder's Celere, Slaysnake's Myth II, Thunder's Trium"
Amyna_Xiphos,https://gbf.wiki/Amyna_Xiphos,light,ssr,3,Amyna Xiphos,sabre,2327,252,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040025300.jpg,"Zion's Might, Mutiny's Light Blade"
Ancient_Bow_of_Artemis,https://gbf.wiki/Ancient_Bow_of_Artemis,light,ssr,4,Ancient Bow of Artemis,bow,2810,260,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040703400.jpg,"Knightcode's Might II, Knightcode's Enmity"
Arabesque_Lumen,https://gbf.wiki/Arabesque_Lumen,light,ssr,4,Arabesque Lumen,dagger,2727,261,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040114000.jpg,"Impavid Impetus, Reverberating Rhythm"
Aschallon_Lumen,https://gbf.wiki/Aschallon_Lumen,light,ssr,4,Aschallon Lumen,sabre,2830,240,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040006800.jpg,"Blade of Conquest, Crimsonic Liege"
Asclepius_Rod,https://gbf.wiki/Asclepius_Rod,light,ssr,4,Asclepius Rod,staff,2610,348,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040400300.jpg,"Grace of Healing II, Zion's Healing"
Atma_Axe_(Light),https://gbf.wiki/Atma_Axe_(Light),light,ssr,3,Atma Axe,axe,2844,165,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040307600.jpg,Labrys Rubell
Atma_Blade_(Light),https://gbf.wiki/Atma_Blade_(Light),light,ssr,3,Atma Blade,katana,2856,163,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040907300.jpg,Makhaira Rubell
Atma_Bow_(Light),https://gbf.wiki/Atma_Bow_(Light),light,ssr,3,Atma Bow,bow,2608,206,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040706700.jpg,Arcus Rubell
Atma_Dagger_(Light),https://gbf.wiki/Atma_Dagger_(Light),light,ssr,3,Atma Dagger,dagger,2402,224,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040109500.jpg,Sica Rubell
Atma_Fist_(Light),https://gbf.wiki/Atma_Fist_(Light),light,ssr,3,Atma Fist,melee,2328,237,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040607900.jpg,Luctor Rubell
Atma_Gun_(Light),https://gbf.wiki/Atma_Gun_(Light),light,ssr,3,Atma Gun,gun,2857,157,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040507200.jpg,Arma Rubell
Atma_Harp_(Light),https://gbf.wiki/Atma_Harp_(Light),light,ssr,3,Atma Harp,harp,2245,224,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040806800.jpg,Musica Rubell
Atma_Spear_(Light),https://gbf.wiki/Atma_Spear_(Light),light,ssr,3,Atma Spear,spear,2350,238,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040208600.jpg,Lancea Rubell
Atma_Staff_(Light),https://gbf.wiki/Atma_Staff_(Light),light,ssr,3,Atma Staff,staff,2162,270,./Weapon Lists_Light - Granblue Fantasy Wiki_files/100px-Weapon_m_1040410600.jpg,Baculum Rubell
