ID,URL,Element,Rarity,Max Evo Level,Name,Type,ATK,HP,Icon,Skills
Abu_Simbel,https://gbf.wiki/Abu_Simbel,wind,ssr,4,Abu Simbel,melee,2812,244,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040616600.jpg,"Tranquility's Fortitude, Preemptive Gale Blade"
Aetherial_Bow,https://gbf.wiki/Aetherial_Bow,wind,ssr,4,Aetherial Bow,bow,2980,271,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040700400.jpg,"Ventosus's Might, Elegant Stratagem"
Alster_Bow,https://gbf.wiki/Alster_Bow,wind,ssr,3,Alster Bow,bow,1952,195,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040711300.jpg,"Resilient Gale, Technical Artistry"
Aluminum_Bat,https://gbf.wiki/Aluminum_Bat,wind,ssr,3,Aluminum Bat,sabre,2150,150,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040015900.jpg,"Squad Goals, Mano a Mano"
Ameno_Habakiri_(Wind),https://gbf.wiki/Ameno_Habakiri_(Wind),wind,ssr,5,Ameno Habakiri,katana,4036,287,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040904700.jpg,"Whirlwind's Celere, Slaysnake's Myth II, Whirlwind's Trium"
Ancient_Nalakuvara,https://gbf.wiki/Ancient_Nalakuvara,wind,ssr,4,Ancient Nalakuvara,spear,2580,290,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040205200.jpg,"Stormwyrm's Betrayal, Stormwyrm's Tyranny"
Anemoi_Silver_Lyre,https://gbf.wiki/Anemoi_Silver_Lyre,wind,ssr,3,Anemoi Silver Lyre,harp,1950,211,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040802300.jpg,Practice and Perfection
Another_Sky,https://gbf.wiki/Another_Sky,wind,ssr,4,Another Sky,harp,2690,280,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040809300.jpg,"Ventosus's Might, Wind's Mystery, Coeli Excelsior"
Arabesque_Ventus,https://gbf.wiki/Arabesque_Ventus,wind,ssr,4,Arabesque Ventus,dagger,2727,261,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040113900.jpg,"Impavid Impetus, Reverberating Rhythm"
Arkab,https://gbf.wiki/Arkab,wind,ssr,3,Arkab,melee,2142,220,./Weapon Lists_Wind - Granblue Fantasy Wiki_files/100px-Weapon_m_1040611000.jpg,Horseman's Supremacy
