21 Excellent-Grade Sword, 
A Pro's Tool, 
A Thousand Dreams, 
Abandoned Role, 
Absolute Equality, 
Abyssal Avenger, 
Act of God, 
Adjudicator's Doctrine, 
Adjudicator's Revelation, 
Adjudicator's Supremacy, 
Air Blast, 
Alchemic Regeneration, 
All That Glitters Are Apples, 
All-Night Party, 
Almost Alchemy, 
Amber Arts, 
Amber Craft, 
Amber Enforcement, 
Amber Hunt, 
Amber Resonator, 
Amethyst's Grace, 
Amethyst's Splendor, 
Anointed Overture, 
Anti-Cursed Spirit Weaponry, 
Apex Predator, 
Apocalyptic Power II, 
Aquae Excelsior, 
Arcanist's Essence, 
Arcanist's Nature, 
Architect ATK Ⅱ, 
Architect Battle Arts, 
Arcus Rubell, 
Arma Rubell, 
Armed Blaze, 
Armed Flood, 
Armed Gale, 
Armed Grounds, 
Armed Shadow, 
Armed Shine, 
Arrow Storm, 
Arsus Excelsior, 
Aspire to Shine!, 
Astral Arts II, 
Astral Blow II, 
Astral Claw II, 
Astral Echo II, 
Astral Pierce II, 
Astral Thrust II, 
Audacity, 
Aura Divine, 
Authentic Memoirs, 
Authority's Trium, 
Auto Apparatus, 
Axe Voltage II, 
Axe's Wrath, 
Azure Blade's Discipline, 
Azure Bow's Discipline, 
Azure Covenant, 
Azure Dagger's Discipline, 
Azure Gauntlet's Discipline, 
Azure Harp's Discipline, 
Azure Lance's Discipline, 
Azure Rifle's Discipline, 
Azure Rod's Discipline, 
Azure Scythe's Discipline, 
Azure Sword's Discipline, 
Baculum Rubell, 
Balmy Healing Breeze, 
Bamboo's Might, 
Bang!, 
Banquet of Joy, 
Barbarian's Essence, 
Barbarian's Nature, 
Battlefield Tribulations, 
Bells of Grace, 
Birch's Might, 
Bitter Perseverance, 
Black Covenant, 
Black Night Fever, 
Blade of Conquest, 
Blade's Wrath, 
Blaze's Ascendancy, 
Blaze's Crux, 
Blaze's Exertion, 
Blaze's Initiation, 
Blaze's Pact, 
Blaze's Persistence, 
Blaze's Quintessence, 
Blazing Chain, 
Blood Drip, 
Blood Red Blow, 
Blood Rose Barrier, 
Blood Rose Brier, 
Blood Rose Bud, 
Blood Rose Thorns, 
Bloodsip Flash, 
Bloodthirsty Deities, 
Blossom's Might, 
Bountiful Guidance, 
Bountiful Influence, 
Bountiful Protection, 
Bountiful Strike, 
Bow Voltage, 
Bow Voltage II, 
Breath of Mysteria, 
Bronze Rose Barrier, 
Bronze Rose Brier, 
Bronze Rose Bud, 
Bronze Rose Thorns, 
Calamitous Covenant, 
Caliginis Excelsior, 
Carrot Hamburger, 
Cavalier's Apex, 
Cavalier's Nature, 
Ceaseless Striving, 
Celestial Guidance, 
Cepheid Variable, 
Chain Force, 
Chariot-Star's Wish, 
Cheirokmeta, 
Choking, 
Chthonian Bewailer's Sanctity, 
Class-Trip Memories, 
Clawed Flood, 
Climate Control, 
Clouds of Nightfall, 
Cobalt Arts, 
Cobalt Craft, 
Cobalt Enforcement, 
Cobalt Hunt, 
Cobalt Vitality, 
Coeli Excelsior, 
Concrio Albus, 
Concrio Corun, 
Concrio Ignis, 
Concrio Imber, 
Concrio Khelreos, 
Concrio Rubell, 
Concrio Terra, 
Concrio Ventus, 
Consecrated Sacrifice, 
Contentious Covenant, 
Contractor's Apex, 
Contractor's Nature, 
Conviction Arc, 
Conviction's Double Star, 
Cosmic Blade II, 
Cosmic Bow II, 
Cosmic Dagger II, 
Cosmic Gauntlet II, 
Cosmic Harp II, 
Cosmic Lance II, 
Cosmic Rifle II, 
Cosmic Rod II, 
Cosmic Scythe II, 
Cosmic Sword II, 
Covert Artistry, 
Crimsonic Liege, 
Crustacean's Might, 
Crustaceous Crush, 
Culmination of Nightfall, 
Cursed Halberd, 
Cursed Tentacle, 
Cyclonic Strike, 
Dagger Voltage II, 
Dancer's Discipline, 
Dancer's Essence, 
Dancer's Nature, 
Dark Demon-Edge, 
Dark Destructo Fist, 
Dark Drain, 
Dark's Aegis, 
Dark's Celere, 
Dark's Dual-Edge, 
Dark's Enmity, 
Dark's Fandango, 
Dark's Grace, 
Dark's Majesty, 
Dark's Might, 
Dark's Restraint, 
Dark's Sentence, 
Dark's Trium, 
Dark's Verity, 
Darkness Concealer, 
Deathly Pincers, 
Debauchery's Sway II, 
Debauchery's Sway III, 
Deleterious Covenant, 
Delicate Strings, 
Delinquent Heart, 
Desert Yellow Blow, 
Despair's Quickening, 
Devicer, 
Dexterity, 
Disease Demon, 
Divine Gavel, 
Do Not Lose or Else, 
Doc Agasa's Invention, 
Doctor's Essence, 
Doctor's Nature, 
Downfall of Ignorance, 
Dragon Ravager's Might, 
Dragonstrike's Pursuit, 
Dragonstrike's Wisdom, 
Dragoon's Apex, 
Dragoon's Nature, 
Draph Animus Dominion, 
Draph Animus Parity, 
Draph Animus Utopia, 
Dreadflame's Claws, 
Dreadflame's Supremacy, 
Dreamward Gate, 
Drive Sprocket, 
Drum Master's Battery, 
Dual Blade's Essence, 
Dual Blade's Nature, 
Eagle and Human's Prudence, 
Earth's Aegis, 
Earth's Bladeshield, 
Earth's Celere, 
Earth's Dual-Edge, 
Earth's Enmity, 
Earth's Fandango, 
Earth's Garrison, 
Earth's Healing, 
Earth's Majesty, 
Earth's Might, 
Earth's Mystery, 
Earth's Sentence, 
Earth's Stamina, 
Earth's Verity, 
Ebony Blade, 
Echinoderm, 
Eclipse's Stamina, 
Einar, 
Electrifying Onslaught, 
Elegant Stratagem, 
Elysian Windrider's Sanctity, 
Emerald Covenant, 
Emerald Rose Barrier, 
Emerald Rose Brier, 
Emerald Rose Bud, 
Emerald Rose Thorns, 
Emperor-Judgement's Awakening, 
Empress-Justice's Virtue, 
Empyrean Adjudicator's Sanctity, 
Enchantress's Barrier, 
Enlightened Monk's Apex, 
Enlightened Monk's Nature, 
Enriching Elevation, 
Erune Animus Dominion, 
Erune Animus Parity, 
Erune Animus Utopia, 
Essence of the East, 
Essence of the North, 
Essence of the South, 
Essence of the West, 
